Client Names,Client Numbers
"St. Mary's County Health Department, Margaret Brent Middle School - SBHC",2404346060
"St. Mary's County Health Department, Nurse Family Partnership",
"St. Mary's County Health Department, Thrive By Three",3014754330
"St. Mary's County Health Department, Lab Health Hub",
"St. Mary's County Health Department, Admin Care Coordination Unit",
Sleep Solutions of North Florida,3867526700.0
"Sleep Solutions of North Florida, Lake City Office",3867526700
"Sleep Solutions of North Florida, Gainesville Office",3867526700
"Sleep Solutions of North Florida, Home Sleep Studies",
"Sleep Solutions of North Florida, Gainesville HST",3867526700
"Sleep Solutions of North Florida, Main Office",3867526700
"Sleep Solutions of North Florida, Lake City HST",
"Sleep Solutions of North Florida, Testsmarter",
Stanly County Health Department,7049829171.0
"Stanly County Health Department, Stanly County Health Dept",7049829171
"Stanly County Health Department, Butterfly House",7049844625
"Stanly County Health Department, MCR Mass IMM",7049829171
"Stanly County Health Department, COVID - Second Dose",
Toe River Health District,8286885060.0
"Toe River Health District, Mitchell County Health Dept",8286882371
"Toe River Health District, Yancey County Health Dept",8286826118
"Toe River Health District, Avery County Health Dept",8287336031
"Toe River Health District, East Yancey Student Health Ctr",8286826152
"Toe River Health District, Cane River Student Health Ctr",8286824758
"Toe River Health District, Yancey County Primary Care",8286826118
"Toe River Health District, Avery Bridge",
"Toe River Health District, Mitchell Bridge",
Vitality Medical Centers,8032449211.0
"Vitality Medical Centers, VMC West Columbia",8032189886
"Vitality Medical Centers, VMC NA",8032189886
"Vitality Medical Centers, VMC Greenville",8646265660
"Vitality Medical Centers, VMC of Charleston",8439831221
"Vitality Medical Centers, MAKE CHECKS PAYABLE/REMIT TO:",
"Vitality Medical Centers, VMC of Fort Mill",8035606991
"Vitality Medical Centers, Restoration Greenville",8647915278
Washington County Health Department,2403133200.0
"Washington County Health Department, Washington Co Health Dept",2403133200
"Washington County Health Department, HIV Clinic",
Wilson County Health Department,2522373141.0
"Wilson County Health Department, Wilson County Health Dept",2522373141
"Wilson County Health Department, Forest Hills School Clinic",2523600769
"Wilson County Health Department, Beddingfield School Clinic",2523997752
"Wilson County Health Department, Barton College",2523996388
"Wilson County Health Department, Hunt School Clinic",2522941655
"Wilson County Health Department, Outreach Clinic",2522373141
"Wilson County Health Department, Fike High School",2522061571
B & S Medical,3407130348.0
"B & S Medical, Welcome Medical Services, Inc",3407180348
"B & S Medical, Evadne Sang",3407130348
"B & S Medical, Gasnel Bryan",3407130348
Wheelersburg Medical Associates,7405742042.0
"Wheelersburg Medical Associates, Ohio River Road",7405742042
Wilkes County Health Department,3366517450.0
"Wilkes County Health Department, Wilkes Health Department-Main",3366517450
"Wilkes County Health Department, West Wilkes High School",3366517450
"Wilkes County Health Department, West Wilkes Middle School",3366517450
"Wilkes County Health Department, North Wilkes High School",3366517450
"Wilkes County Health Department, North Wilkes Middle School",3366517450
"Wilkes County Health Department, Wilkes Central High School",3366517450
"Wilkes County Health Department, Wilkes Central Middle School",3366517450
"Wilkes County Health Department, East Wilkes High School",3366517450
"Wilkes County Health Department, East Wilkes Middle School",3366517450
"Wilkes County Health Department, Early College",3366517450
"Wilkes County Health Department, LabCorp GEN WCHD",
"Wilkes County Health Department, LabCorp AH WCHD",
"Wilkes County Health Department, LabCorp MAT WCHD",
"Wilkes County Health Department, LabCorp STD WCHD",
"Wilkes County Health Department, LabCorp WPH WCHD",
"Wilkes County Health Department, LabCorp MESH WCHD",
"Wilkes County Health Department, LabCorp TB WCHD",
"Wilkes County Health Department, LabCorp County Employ WCHD",
"Wilkes County Health Department, LabCorp CH WCHD",
"Wilkes County Health Department, LabCorp WC-DSME-T WCHD",
"Bradley Wasserman MD, PLLC",2127671100.0
"Bradley Wasserman MD, PLLC, Columbus Circle",2127671100
"Bradley Wasserman MD, PLLC, Midtown",2127671100
"Bradley Wasserman MD, PLLC, Union Square",2127671100
"Bradley Wasserman MD, PLLC, NYU Hospital For Joint Disease",2125986194
"Bradley Wasserman MD, PLLC, NYU Langone Medical Center",2122637300
"Bradley Wasserman MD, PLLC, Winthrop University Hospital",5166630333
"Bradley Wasserman MD, PLLC, Flushing",
"Bradley Wasserman MD, PLLC, Church Ave",
"Bradley Wasserman MD, PLLC, NJ",2016241600
"Bradley Wasserman MD, PLLC, Washington Heights",
"Bradley Wasserman MD, PLLC, NYU",2127671100
"Bradley Wasserman MD, PLLC, Jackson Heights",2127671100
"Bradley Wasserman MD, PLLC, Palisades Park",
"Bradley Wasserman MD, PLLC, Forest Hills",2127671100
"Bradley Wasserman MD, PLLC, Corona",
"Bradley Wasserman MD, PLLC, Elmhurst",2127671100
"Bradley Wasserman MD, PLLC, Bronx",2127671100
William J Garrity DO,8606684767.0
"William J Garrity DO, Willam J Garrity DO",8606684767
"William J Garrity DO, Esesx Office",
Ada Psychiatry,4805269292.0
"Ada Psychiatry, Ada Psychiatry - Arizona",4805269292
"Ada Psychiatry, Ada Telepsych - Oregon",
"Ada Psychiatry, Ada Telepsych - Washington",
 Anchors Down Home Care LLC,6614869372.0
" Anchors Down Home Care LLC, Anchors Down Home Care",6614869372
Advanced Integrative Medicine,3037080246.0
Alamogordo Internal Medicine,5754342965.0
ARAPAHOE COUNTY PUBLIC HEALTH,3037954584.0
"ARAPAHOE COUNTY PUBLIC HEALTH, Willow",3037954584
"ARAPAHOE COUNTY PUBLIC HEALTH, Aurora East (Altura Plaza)",3037954584
"ARAPAHOE COUNTY PUBLIC HEALTH, Englewood Office",3037954584
"ARAPAHOE COUNTY PUBLIC HEALTH, Aurora South (Hampden Villa)",3037954584
"Avalon Wound Care, Inc",8185883300.0
NBB Wellness Clinic,9703055570.0
"NBB Wellness Clinic, NBB Wellness",9702294653
Blaine County Health Department,4063572345.0
Camber Health LLC,9703828292.0
"Camber Health LLC, Animas Surgical Hospital",
Carbon County Public Health,4064469941.0
Casper-Natrona County Health Department,3072359340.0
"Casper-Natrona County Health Department, Casper-Natrona County Health D",3072359340
Cheyenne-Laramie County Public Health,3076334000.0
"Cheyenne-Laramie County Public Health, CLC Public Health",3076334000
"Cheyenne-Laramie County Public Health, CLCPH-FP",3076334000
Clear Creek County Public Health,3036707528.0
"Clear Creek County Public Health, Clear Creek County PH",3036707528
Cochise Health & Social Services,5204329400.0
"Cochise Health & Social Services, CHSS - Bisbee",5204329400
"Cochise Health & Social Services, CHSS- Douglas",5208055600
"Cochise Health & Social Services, CHSS - Benson",5204329400
"Cochise Health & Social Services, CHSS - Sierra Vista",5208033900
"Cochise Health & Social Services, CHSS - Willcox",5204329400
"Community Health Services, Inc",9709205420.0
"CHRISTUS St. Vincent Ear, Nose, and Throat Specialists",5059824848.0
"CHRISTUS St. Vincent Ear, Nose, and Throat Specialists, zSouthwestern Sleep Center",5054383101
"CHRISTUS St. Vincent Ear, Nose, and Throat Specialists, zLos Alamos SWENT",5059824848
"CHRISTUS St. Vincent Ear, Nose, and Throat Specialists, zLas Vegas SWENT",5059824848
"CHRISTUS St. Vincent Ear, Nose, and Throat Specialists, zEspanola SWENT",5059824848
"CHRISTUS St. Vincent Ear, Nose, and Throat Specialists, CSV Ear Nose and Throat Specialist",5059824848
"CHRISTUS St. Vincent Ear, Nose, and Throat Specialists, CSV Physician's Medical Center",5054285400
"CHRISTUS St. Vincent Ear, Nose, and Throat Specialists, Christus St. Vincents Regional",5059135220
"CHRISTUS St. Vincent Ear, Nose, and Throat Specialists, zAlta Vista Regional Hospital",5054263500
"CHRISTUS St. Vincent Ear, Nose, and Throat Specialists, zSouthwestern Ear NoseThroat",
"Paul J. Wisniewski, D.O., Inc. DBA Cutting Edge Surgical Medical Group",8166047478.0
"Paul J. Wisniewski, D.O., Inc. DBA Cutting Edge Surgical Medical Group, St Mary Medical Center",7602422311
Castle Valley Childrens Clinic ,9709843333.0
"Castle Valley Childrens Clinic , New Castle",9709843333
"Castle Valley Childrens Clinic , Carbondale",9709457564
"Castle Valley Childrens Clinic , Aspen Valley Hospital",9709843333
Devereux Adolescent Health and Wellness,6029446222.0
"Devereux Adolescent Health and Wellness, Integrated Clinic",6023134525
"Devereux Adolescent Health and Wellness, Sweetwater Campus",
"Devereux Adolescent Health and Wellness, Devereux Arizona Community Family",6109446222
Davis County Health Department,8015255020.0
"Davis County Health Department, DCHD Community Outreach",8015255000
Allergy And Asthma Care,5052941471.0
"Allergy And Asthma Care, DB559421 Test Location",7182920100
"Allergy And Asthma Care, 2509 Virginia ST NE",5052941471
BRUCE A SHAFFER MD,5054732972.0
"BRUCE A SHAFFER MD, 1925 ASPEN DR STE 802A",5054732972
"BRUCE A SHAFFER MD, CHRISTUS ST VINCENT",
Bhasker Medical Clinic,5758352940.0
"Bhasker Medical Clinic, 200 Neel Ave",5758352940
Samanta Frembgen DO PLLC,5203728575.0
"Samanta Frembgen DO PLLC, Samantha Frembgen DO PLLC",5203728575
Delta County Health Department,9708742165.0
"Delta County Health Department, Delta County Health Dept Training",
"Delta County Health Department, DCHD 2nd Doses",
"Delta County Health Department, Not used",
"Delta County Health Department, 1st Delta County Health Vaccination",
"Delta County Health Department, Hotchkiss Vaccination Clinic",
"Delta County Health Department, Covid Vaccinations",
"Delta County Health Department, Janssen and Janssen",
"Delta County Health Department, Pfizer dose",
Desert Sage Behavioral Health,5207716782.0
"Desert Sage Behavioral Health, AZI HOUSE",
"Desert Sage Behavioral Health, BRIDGEWATER (SOLTERRA) LA CHOLLA",
"Desert Sage Behavioral Health, CATALINA VILLAGE",
"Desert Sage Behavioral Health, WOODLAND PALMS",
"Desert Sage Behavioral Health, EMERINE HILLS ASSISTED LIVING",
"Desert Sage Behavioral Health, PARK SENIOR VILLAS AT LA CANADA",
"Desert Sage Behavioral Health, SAGE DESERT ASSISTED LIVING",
"Desert Sage Behavioral Health, Silver Moon Assisted Living Home",
"Desert Sage Behavioral Health, TUCSON ASSISTED LIVING RETREAT",
"Desert Sage Behavioral Health, VILLAS AT GREEN VALLEY",
"Desert Sage Behavioral Health, VILLAS AT KING",
"Desert Sage Behavioral Health, VILLA HERMOSA",
"Desert Sage Behavioral Health, Desert Sage Behavioral",5207716782
"Desert Trauma Surgeons, A Medical Group, Inc",7606569661.0
"Desert Trauma Surgeons, A Medical Group, Inc, Desert Trauma Surgeons, Inc.",7606569661
Dr. Gann's Diet of Hope,5206963438.0
"Dr. Gann's Diet of Hope, North Office",5206963438
"Dr. Gann's Diet of Hope, East Office",5203322494
East Idaho Ear NoseThroat-Facial Plastic Surgery ,2085226335.0
"East Idaho Ear NoseThroat-Facial Plastic Surgery , East Idaho Ear Nose Throat -IF",2085226335
"East Idaho Ear NoseThroat-Facial Plastic Surgery , EIRMC Pediatric Therapy",2085226335
"East Idaho Ear NoseThroat-Facial Plastic Surgery , EIRMC",
"East Idaho Ear NoseThroat-Facial Plastic Surgery , Mountain View Hospital",
"East Idaho Ear NoseThroat-Facial Plastic Surgery , Parkway Surgical Centre",
"East Idaho Ear NoseThroat-Facial Plastic Surgery , East Idaho Ear Nose Throat in Rigby",
"East Idaho Ear NoseThroat-Facial Plastic Surgery , Madison Avenue Surgery Center LLC",
"East Idaho Ear NoseThroat-Facial Plastic Surgery , Madison Memorial Hospital",
"East Idaho Ear NoseThroat-Facial Plastic Surgery , Idaho Falls Community Hospital",2085281000
Elbert County Public Health,7205953620.0
Fairhaven Behavioral Health & Wellness,3603933308.0
"Fairhaven Behavioral Health & Wellness, Fairhaven Behavioral Health",3603933308
Family Medical Practice,9703882288.0
"Family Medical Practice, 900 14th St",9703040010
"Family Medical Practice, 2918 W 10th St",
FEED Corporation,6028482328.0
"FEED Corporation, FEED Clinic",6028482328
Fremont County Department of Public Health & Environment,7192767450.0
"Fremont County Department of Public Health & Environment, FCDPHE",7192767450
Family Walk In Clinic,9705842100.0
"Family Walk In Clinic, 900 14th St",9703040010
Garfield County Public Health,9709456614.0
"Garfield County Public Health, Glenwood Springs Office",9709456614
"Garfield County Public Health, Rifle Office",9706255200
"Garfield County Public Health, COVID 2nd Dose",
"Garfield County Public Health, Carbondale Clinic - Town Hall",9709456614
"Garfield County Public Health, Parachute Clinic - Resource Center",9706255200
Goodness Health,7205005488.0
"Goodness Health, Goodness Health LLC Telehealth",7036630272
"Goodness Health, Peaks Care CenterandFrontierTherapy",
Gunnison County Health and Human Services,9706413244.0
"Gunnison County Health and Human Services, Gunnison County Public Health",9706413244
"Gunnison County Health and Human Services, Western Colorado State University",9706413244
Hackensack Sleep Pulmonary Center,2019960232.0
"Hackensack Sleep Pulmonary Center, Hackensack University Medical",2019960232
"Hackensack Sleep Pulmonary Center, Hackensack Sleep Pulmonary",2019960232
"Hackensack Sleep Pulmonary Center, OP Hackensack University Medi",2019960232
"Hackensack Sleep Pulmonary Center, ER Hackensack University Medic",2019960232
"Hackensack Sleep Pulmonary Center, AS Hackensack University Medic",2019960232
"Hackensack Sleep Pulmonary Center, North NJ Centre for Sleep Med",2018337260
"Hackensack Sleep Pulmonary Center, Hackensack Sleep Ctr Partners",2018808531
"Hackensack Sleep Pulmonary Center, test MD",
"Hackensack Sleep Pulmonary Center, Holy Name Hospital",
"Hackensack Sleep Pulmonary Center, Englewood Hospital Medical Ctr",2018943000
"Hackensack Sleep Pulmonary Center, HackensackUMC Pascack Valley",2013831035
"Hackensack Sleep Pulmonary Center, CareOne at Wellington",2014874900
"Hackensack Sleep Pulmonary Center, Meadows Surgery Center LLC",2016617500
Hackensack Sleep Institute LLC,2019960232.0
"Hackensack Sleep Institute LLC, Holy Name Hospital",
"Hackensack Sleep Institute LLC, Hackensack University Medical",
City of Hartford Health and Human Service Department,8607574700.0
"City of Hartford Health and Human Service Department, HHS Public Health Clinic",8607574700
Hope of Life,5207716702.0
"Hope of Life, Hope of life",5207716702
"IGNACIO FAMILY MEDICINE, INC.",9705639388.0
"IGNACIO FAMILY MEDICINE, INC., Ignacio Family Medicine Inc",9705639388
Integrated Medical Consultants ,9702219451.0
"Integrated Medical Consultants , Integrated Medical Consultants",9702219451
Kit Carson County Dept. of Public Health and Environment,7193467158.0
"Kit Carson County Dept. of Public Health and Environment, KCCDPHE - Burlington",7193467158
"Kit Carson County Dept. of Public Health and Environment, KCCDPHE - Hugo",
"Kit Carson County Dept. of Public Health and Environment, KCCDPHE - Stratton",
"Kit Carson County Dept. of Public Health and Environment, KCCDPHE - Flagler",
"Kit Carson County Dept. of Public Health and Environment, Kit Carson County Memorial Hospital",
"Kit Carson County Dept. of Public Health and Environment, KCC 2nd Dose Clinic Only",
Kathleen Young,4064712749.0
"Kathleen Young, Hidden Meadow Memory Care",4064712749
Laramie Reproductive Health,3077455364.0
"Leaf and Stone, PLLC",5203728575.0
Lincoln County Public Health,7197432526.0
LINCOLN COUNTY HEALTH DEPARTMENT,4062832442.0
"LINCOLN COUNTY HEALTH DEPARTMENT, Eureka Clinic",
"LINCOLN COUNTY HEALTH DEPARTMENT, USFS Supervisor's Office",
"LINCOLN COUNTY HEALTH DEPARTMENT, Libby Floral",4062934139
"LINCOLN COUNTY HEALTH DEPARTMENT, Eureka Ranger Station",4062962536
La Plata County Public Health CO,9702475702.0
"La Plata County Public Health CO, La Plata County Public Health",9702475702
Madison County Public Health Department,4068434295.0
"Madison County Public Health Department, Madison County Public Health",4068434295
GA Pain Institute,4784769642.0
McVay Foot & Ankle,7192665000.0
"McVay Foot & Ankle, MCVAY FOOT & ANKLE PC",7192665000
"McVay Foot & Ankle, Surgery Center at Kissing Camels",7196332494
"McVay Foot & Ankle, St Frances Medical Center",7197768010
"McVay Foot & Ankle, Penrose  Hospital",7197765000
"McVay Foot & Ankle, UCHealth Grandview Hospital",7193653300
Spine Group,3034570123.0
"Spine Group, Mile High Spine and Pain Cente",3034570123
"Spine Group, MILE HIGH DIABETES VEIN AND WOUND C",3034570123
Missoula City-County Health Department,4062584286.0
"Missoula City-County Health Department, Missoula City-County Health Dept",4062584286
"Missoula City-County Health Department, Home Visiting",
"Missoula City-County Health Department, DPP",
"Missoula City-County Health Department, Off-Site IZ Clinic",4062584286
Moffat County Public Health Department,9706294001.0
"Moffat County Public Health Department, Moffat County Public Health",9706294001
Neuragenex Treatment Centers (UT),3855012433.0
"Neuragenex Treatment Centers (UT), Bluffdale",3855012433
"Neuragenex Treatment Centers (UT), Lehi",
New Merveille LLC,8177072798.0
Northeast Colorado Health Department,9705223741.0
"Northeast Colorado Health Department, NCHD Logan County",9705223741
"Northeast Colorado Health Department, NCHD Morgan County",9708674918
"Northeast Colorado Health Department, NCHD Phillips County",9708542717
"Northeast Colorado Health Department, NCHD Sedgwick County",9704742619
"Northeast Colorado Health Department, NCHD Washington County",9703456562
"Northeast Colorado Health Department, NCHD Yuma County",9708483811
Oro Valley Adult Medicine,5205475688.0
Park County Public Health,7198364161.0
"Park County Public Health, Park County Public Health Bailey",7198364161
Patrick McLaughlin MD PC,9703828292.0
"Patrick McLaughlin MD PC, Animas Surgical Hospital",9702473537
Pearl Health Clinic,2083467500.0
"Pearl Health Clinic, PHC-Ammon",2083467500
"Pearl Health Clinic, Pearl Health Clinic - TF",2089629226
"Pearl Health Clinic, MAKE CHECKS PAYABLE/REMIT TO:",
"Pearl Health Clinic, PHC TELEHEALTH",2083467500
"Pearl Health Clinic, PHC - IF",2083467500
"Pearl Health Clinic, TMS Schedule",2082272100
"Pearl Health Clinic, Pearl Health Clinic - IOP",2083467500
"Pearl Health Clinic, Pearl Health Clinic - PT",2083467500
"Pearl Health Clinic, PHC Lomax",2085243733
"Pearl Health Clinic, LOMAX Telehealth",2085243733
"Pearl Health Clinic, PHC Home Visits",
"Pearl Health Clinic, Group Home Visit",
"Pearl Health Clinic, PHC-Idaho Falls",
"Pearl Health Clinic, PHC Grace",
"Pearl Health Clinic, PHC Rexburg",
"Pearl Health Clinic, Gateway TCC",
"Pearl Health Clinic, PHC Pocatello",
Pinal County Public Health District,8669600633.0
"Pinal County Public Health District, Apache Junction",8669600633
"Pinal County Public Health District, Casa Grande",8669600633
"Pinal County Public Health District, Coolidge",8669600633
"Pinal County Public Health District, San Tan Valley",8669600633
"Pinal County Public Health District, Superior",8669600633
"Pinal County Public Health District, Pinal County Health District",5208667319
"Pinal County Public Health District, Maricopa",8669330633
"Pinal County Public Health District, Eloy",
"Pinal County Public Health District, Oracle",
"Pikes Peak Nephrology Associates, P.C.",7196327641.0
"Pikes Peak Nephrology Associates, P.C., A1 Pikes Peak Nephrology Assoc",7196327641
"Pikes Peak Nephrology Associates, P.C., A3 Pikes Peak Neph Alamosa",7196327641
"Pikes Peak Nephrology Associates, P.C., Davita Alamosa",7195892022
"Pikes Peak Nephrology Associates, P.C., Davita North",7196381223
"Pikes Peak Nephrology Associates, P.C., Davita Pikes Peak",7194714616
"Pikes Peak Nephrology Associates, P.C., Davita Printers",7196300602
"Pikes Peak Nephrology Associates, P.C., US Renal Dialysis",7192535980
"Pikes Peak Nephrology Associates, P.C., Liberty Airport",7193804842
"Pikes Peak Nephrology Associates, P.C., Liberty Lelaray Central",7193804878
"Pikes Peak Nephrology Associates, P.C., Liberty Hollowbrook",7195932999
"Pikes Peak Nephrology Associates, P.C., A2 Pikes Peak Neph Pueblo",7196327641
"Pikes Peak Nephrology Associates, P.C., Memorial North IP",7193645000
"Pikes Peak Nephrology Associates, P.C., Memorial North OP",7193645000
"Pikes Peak Nephrology Associates, P.C., Penrose Main IP",7197765000
"Pikes Peak Nephrology Associates, P.C., Penrose Main OP",7197765000
"Pikes Peak Nephrology Associates, P.C., Memorial Central IP",7193655000
"Pikes Peak Nephrology Associates, P.C., Memorial Central OP",7193655000
"Pikes Peak Nephrology Associates, P.C., St Francis IP",7195711000
"Pikes Peak Nephrology Associates, P.C., St Francis OP",7195711000
"Pikes Peak Nephrology Associates, P.C., Select Hospital",7195716101
"Pikes Peak Nephrology Associates, P.C., Healthsouth Rehab Hospital",7196308000
"Pikes Peak Nephrology Associates, P.C., Heart of the Rockies Dialysis Cente",7195302487
"Pikes Peak Nephrology Associates, P.C., Liberty West",7192576867
Pusch Ridge Behavioral Health,5203951593.0
"Pusch Ridge Behavioral Health, Oracle",5203951593
"Pusch Ridge Behavioral Health, Green Valley",5205262663
"Pusch Ridge Behavioral Health, Hour Child Crisis Center",
Prowers County Public Health and Environment,7193368721.0
"Prowers County Public Health and Environment, Prowers",7193368721
"Prowers County Public Health and Environment, Kiowa",7193368721
"Prowers County Public Health and Environment, NFP",7193368721
William Leroy Wilson MD Inc,6194602700.0
"William Leroy Wilson MD Inc, California Pain and Spine Care",6194602700
"William Leroy Wilson MD Inc, COAST Surgery Center",8582683566
"William Leroy Wilson MD Inc, UCSD - Moores Cancer Center",8588226100
"William Leroy Wilson MD Inc, IP Alvarado Hospital",6192873270
"William Leroy Wilson MD Inc, OPAlvarado Hospital",6192873270
"William Leroy Wilson MD Inc, IPGrossmont Hospital",6194650711
"William Leroy Wilson MD Inc, OP Grossmont Hospital",6194650711
"William Leroy Wilson MD Inc, IP Mercy Hospital",6192948111
"William Leroy Wilson MD Inc, Mercy Hospital Outpatient",
"William Leroy Wilson MD Inc, William Leroy Wilson MD INC",6194602700
"William Leroy Wilson MD Inc, IP Sharp Memorial",8589393400
"William Leroy Wilson MD Inc, OP Sharp Memorial",
"William Leroy Wilson MD Inc, Navajo Rd. Surgical Center",6194602700
"William Leroy Wilson MD Inc, Physician’s Surgery Center at",6192699536
"William Leroy Wilson MD Inc, Pain Care of San Diego",
"William Leroy Wilson MD Inc, Scripps Mercy Surgery Pavilion",
Routt County Public Health,9708705341.0
"Rene Shek-Ming Eng, M.D.",2129410988.0
Rio Grande Hematology and Oncology,5755222633.0
"Rio Grande Hematology and Oncology, Rio Grande Hematology and Onco",5755222633
"Rio Grande Hematology and Oncology, Mountain View",
"Rio Grande Hematology and Oncology, Memorial Medical Center",
"Rio Grande Hematology and Oncology, Three Crosses Regional Hospital",
ROOSEVELT COUNTY HEALTH DEPARTMENT,4066536223.0
"ROOSEVELT COUNTY HEALTH DEPARTMENT, ROOSEVELT COUNTY",4066536223
Rosebud County Public Health Department,4063462156.0
"Rosebud County Public Health Department, Forsyth",4063462156
"Rosebud County Public Health Department, Colstrip",4067482800
"Rosebud County Public Health Department, zColstrip Medicare",4067482800
"Rosebud County Public Health Department, zForsyth Medicare",4063462156
San Juan Basin Public Health ,9702475702.0
"San Juan Basin Public Health , SJBPH Durango",9702475702
"San Juan Basin Public Health , SJBPH Pagosa Springs",9702475702
Sky-Care Diagnostic Monitoring Center LLC,8582391745.0
"Sky-Care Diagnostic Monitoring Center LLC, Sky-Care Dianostic Monitoring ",8582391745
St Marys County Sheriff's Office Wellness Center,2402982514.0
"St Marys County Sheriff's Office Wellness Center, SMCSO Wellness Center",2402982514
"St Marys County Sheriff's Office Wellness Center, SMCSO Mental Health",2402982514
Southwest CO Spine Center,9703828292.0
"Southwest CO Spine Center, Southwest Colorado Spine",9703828292
"Southwest CO Spine Center, Animas Surgical Hospital",9702473537
Telecare Anywhere,8332419989.0
"Telecare Anywhere, Denver Colorado",8332419989
Teton County Health Department,4064662562.0
"Thomas  M Reichenbacher, M.D.",5206398746.0
"Thomas  M Reichenbacher, M.D., Thomas Reichenbacher, M.D.",5206398746
Twin Peaks Behavioral Health LLC,5209993922.0
"Twin Peaks Behavioral Health LLC, Twin Peaks Behavioral Health",5203024805
Western Wyoming Family Planning,3073626813.0
WellLife Medical Centers,7196948782.0
Wyoming Department of Health,3077777363.0
"Wyoming Department of Health, Albany County Public Health",3077212561
"Wyoming Department of Health, Big Horn County Public Health",3077652371
"Wyoming Department of Health, Campbell County Public Health",3076827275
"Wyoming Department of Health, Carbon County Public Health",3073282607
"Wyoming Department of Health, Converse County Public Health",3073582536
"Wyoming Department of Health, Crook County Public Health",3072831142
"Wyoming Department of Health, Fremont County Public Health",3078566979
"Wyoming Department of Health, Goshen County Public Health",3075324069
"Wyoming Department of Health, Hot Springs County Public Heal",3078643311
"Wyoming Department of Health, Johnson County Public Health",3076842564
"Wyoming Department of Health, Lincoln County Public Health",3078859598
"Wyoming Department of Health, Niobrara County Public Health ",3072860220
"Wyoming Department of Health, Platte County Public Health  ",3073222540
"Wyoming Department of Health, Park County Public Health  ",3075278570
"Wyoming Department of Health, Sheridan County Public Health ",3076725169
"Wyoming Department of Health, Sublette County Public Health ",3073672157
"Wyoming Department of Health, Sweetawater County Public Heal",3079225390
"Wyoming Department of Health, Teton County Health Department",3077336401
"Wyoming Department of Health, Uinta County Public Health   ",3077899203
"Wyoming Department of Health, Washakie County Public Health ",3073473278
"Wyoming Department of Health, Weston County Public Health  ",3077464775
Allergy & Asthma Associates of Murray Hill,2126854225.0
"Allergy & Asthma Associates of Murray Hill, Manhattan Office ",2126854225
"Allergy & Asthma Associates of Murray Hill, Forest Hills Office",
"Allergy & Asthma Associates of Murray Hill, Yonkers Office",
"Allergy & Asthma Associates of Murray Hill, Baldwin Office",
"Allergy & Asthma Associates of Murray Hill, Hauppauge Office",
"Allergy & Asthma Associates of Murray Hill, Huntington Office",
"Allergy & Asthma Associates of Murray Hill, Madison Office",
Anita Bhola Medical PC,8454584899.0
"Anita Bhola Medical PC, St. Luke’s Cornwall Hospital",8454584899
"Anita Bhola Medical PC, Nyack Hospital",8453482209
"Advanced Surgical Associates, PA",9198519193.0
"Advanced Surgical Associates, PA, ASA Office",9198519193
"Advanced Surgical Associates, PA, Wake Med Cary OP",9198519193
"Advanced Surgical Associates, PA, Wake Med Cary IP",9198519193
"Advanced Surgical Associates, PA, Rex OP",9198519193
"Advanced Surgical Associates, PA, Rex IP",9198519193
"Advanced Surgical Associates, PA, Duke IP",9198519193
"Advanced Surgical Associates, PA, Duke OP",9198519193
"Advanced Surgical Associates, PA, Wake Med Raleigh OP",9198519193
"Advanced Surgical Associates, PA, Wake Med Raleigh IP",9198519193
"Advanced Surgical Associates, PA, REX AMBULATORY CENTER",
"Advanced Surgical Associates, PA, WAKE MED AMBULATORY",
Advanced Gastroenterology Aff,4073521303.0
"Advanced Gastroenterology Aff, Advanced Gastro Affiliates",4073521303
"Advanced Gastroenterology Aff, GI Dr P Phillips Hospital",4073521303
"Advanced Gastroenterology Aff, OP Dr. P. Philips Hospital",4073521303
"Advanced Gastroenterology Aff, IP Dr. P. Philips Hospital",
"Advanced Gastroenterology Aff, IP Florida Hospital Celebratio",
"Advanced Gastroenterology Aff, OP Florida Hospital Celebratio",4073521303
"Advanced Gastroenterology Aff, Health Central Hospital",
"Advanced Gastroenterology Aff, Dr. P. Philips Hosp w FCode",
"Advanced Gastroenterology Aff, Sand Lake Surgery Center",4072649633
"Advanced Gastroenterology Aff, Advanced Gastroenterology tele",4073521303
"Advanced Gastroenterology Aff, Moon Imaging",4073521303
"Advanced Gastroenterology Aff, MILLENIA SURGERY CENTER LLC",8666317890
AUA Advanced Urogynecology Associates,7327753030.0
"AUA Advanced Urogynecology Associates, AUA",7327753030
"AUA Advanced Urogynecology Associates, MONMOUTH MEDICAL CENTER IP",7327753030
"AUA Advanced Urogynecology Associates, CENTRASTATE MEDICAL CENTER IP",7327753030
"AUA Advanced Urogynecology Associates, COMMUNITY MEDICAL CENTER",7327753030
"Alliance Family Medical Practice, PC",5164860094.0
"Alliance Family Medical Practice, PC, Alliance Family Medical",5164860094
AHMED M FAHMY MD LLC,2012245252.0
"AKKIL ALI MD,PA",9547216541.0
"AKKIL ALI MD,PA, OFFICE",9547216541
"AKKIL ALI MD,PA, HOLY CROSS",9547718000
"AKKIL ALI MD,PA, NORTH WEST MEDICAL",9549740400
"AKKIL ALI MD,PA, IMPERIAL POINT MEDICAL CENTER",9547768500
"AKKIL ALI MD,PA, NORTH BROWARD MEDICAL CENTER",9547866640
"AKKIL ALI MD,PA, FLORIDA MEDICAL CENTER",9547356000
"AKKIL ALI MD,PA, CORAL SPRINGS MEDICAL CENTER",9543443000
